iter	MultiClass
0	1.040475179
1	0.9965065914
2	0.9613504391
3	0.9331624011
4	0.9108341652
5	0.871769276
6	0.8403642462
7	0.8140607019
8	0.7664312974
9	0.7238810651
10	0.6889890269
11	0.6602561925
12	0.6340774162
13	0.6118432245
14	0.5915918219
15	0.5707571211
16	0.5561826372
17	0.5416771608
18	0.5149868095
19	0.4945671257
20	0.4762677999
21	0.4609775954
22	0.4476997404
23	0.4347871306
24	0.4126271349
25	0.3950510733
26	0.3808966501
27	0.3681490375
28	0.3577940826
29	0.3479941904
30	0.3377045426
31	0.3272951681
32	0.3173884277
33	0.3091366174
34	0.3002402697
35	0.2921656834
36	0.2836298091
37	0.2768763823
38	0.2713198143
39	0.2650325772
40	0.2592691842
41	0.2537293582
42	0.2485898222
43	0.2426318496
44	0.2371341025
45	0.2312678381
46	0.2264182632
47	0.2221660799
48	0.2171945945
49	0.2135049193
50	0.2085428503
51	0.2048342964
52	0.2006661141
53	0.1965977462
54	0.193224395
55	0.1900657219
56	0.1865625624
57	0.1831979922
58	0.180211865
59	0.1769294295
60	0.1741228124
61	0.1711883404
62	0.1690292874
63	0.1656162592
64	0.1625189144
65	0.1595300932
66	0.1564935721
67	0.1542053426
68	0.1519170932
69	0.1494249753
70	0.1472194823
71	0.1454734001
72	0.1433442137
73	0.1409435706
74	0.1390360242
75	0.1375588408
76	0.1355882631
77	0.1337136645
78	0.1311300551
79	0.1292942612
80	0.128139704
81	0.1265174264
82	0.124716822
83	0.1233540078
84	0.1211146237
85	0.1196371015
86	0.1178283799
87	0.1164251445
88	0.1147385291
89	0.1135167647
90	0.1119379511
91	0.1105343151
92	0.1088831027
93	0.1074788776
94	0.1060725619
95	0.1045414792
96	0.1031004133
97	0.1015965779
98	0.1001440662
99	0.09885416054
