iter	Passed	Remaining
0	102	10120
1	121	5941
2	137	4445
3	161	3880
4	180	3421
5	233	3661
6	252	3351
7	270	3115
8	290	2934
9	308	2774
10	327	2653
11	346	2544
12	368	2467
13	387	2380
14	406	2302
15	424	2230
16	442	2159
17	460	2097
18	483	2060
19	503	2012
20	522	1967
21	543	1925
22	584	1957
23	610	1932
24	632	1896
25	653	1859
26	674	1824
27	700	1801
28	722	1768
29	744	1736
30	763	1698
31	787	1672
32	809	1642
33	836	1623
34	858	1594
35	880	1564
36	902	1537
37	927	1513
38	952	1489
39	976	1464
40	1001	1441
41	1028	1420
42	1051	1394
43	1073	1366
44	1098	1342
45	1116	1310
46	1135	1280
47	1159	1256
48	1182	1230
49	1204	1204
50	1228	1180
51	1247	1151
52	1266	1123
53	1290	1099
54	1315	1076
55	1335	1048
56	1354	1022
57	1374	995
58	1393	968
59	1428	952
60	1449	926
61	1467	899
62	1498	880
63	1527	859
64	1555	837
65	1584	816
66	1604	790
67	1633	768
68	1651	742
69	1672	716
70	1691	690
71	1711	665
72	1730	640
73	1748	614
74	1769	589
75	1790	565
76	1811	541
77	1831	516
78	1850	491
79	1868	467
80	1889	443
81	1907	418
82	1925	394
83	1946	370
84	1963	346
85	1985	323
86	2009	300
87	2031	277
88	2051	253
89	2082	231
90	2101	207
91	2119	184
92	2137	160
93	2156	137
94	2175	114
95	2195	91
96	2214	68
97	2231	45
98	2249	22
99	2269	0
